地区名,センター（center.csvを使わない場合は空白化）,可燃ごみ,不燃ごみ,プラスチック製容器包装,資源物（プラスチック製容器包装含む）
あ：旭町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
あ：荒町,,月 木,水1 水3,金1 金2 金3 金4,金2 金4
い：五十辺（注1）,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
い：入江町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
う：上町,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
お：太田町,,火 金,水2 水4,水1 水2 水3 水4,水1 水3
お：御山町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
お：御倉町,,月 木,水1 水3,金1 金2 金3 金4,金2 金4
お：大町,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
お：置賜町,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
か：霞町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
か：春日町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
か：上浜町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
き：北町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
き：北五老内町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
こ：五老内町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
こ：腰浜町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
さ：栄町,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
さ：五月町,,月 木,水1 水3,金1 金2 金3 金4,金2 金4
さ：桜木町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
し：信夫山（注2）,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
し：新浜町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
し：新町,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
し：陣場町,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
す：須川町,,火 金,水2 水4,水1 水2 水3 水4,水1 水3
す：杉妻町,,月 木,水1 水3,金1 金2 金3 金4,金2 金4
せ：清明町,,月 木,水1 水3,金1 金2 金3 金4,金2 金4
そ：曽根田町,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
ち：仲間町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
て：天神町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
と：豊田町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
な：中町,,月 木,水1 水3,金1 金2 金3 金4,金2 金4
の：野田町（本庁管内）,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
は：花園町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
は：浜田町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
は：万世町,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
ひ：東浜町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
ひ：東中央一丁目（本庁管内）,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
ふ：舟場町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
ほ：堀河町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
ま：松木町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
ま：松浪町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
ま：松山町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
み：宮下町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
み：南町,,火 金,水2 水4,水1 水2 水3 水4,水1 水3
み：宮町,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
み：三河南町,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
み：三河北町,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
み：南中央(本庁管内),,月 木,水1 水3,金1 金2 金3 金4,金1 金3
も：本町,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
も：森合町,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
や：矢剣町,,火 金,水2 水4,水1 水2 水3 水4,水1 水3
や：八島町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
や：山下町,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
や：柳町,,月 木,水1 水3,金1 金2 金3 金4,金2 金4
わ：早稲町,,月 木,水1 水3,金1 金2 金3 金4,金2 金4
あ：荒井,,火 金,水2 水4,水1 水2 水3 水4,水1 水3
い：泉,,月 木,水1 水3,火1 火2 火3 火4,火1 火3
い：飯坂町,,月 木,水1 水3,水1 水2 水3 水4,水2 水4
い：飯坂町平野,,月 木,水1 水3,水1 水2 水3 水4,水2 水4
い：飯坂町中野,,月 木,水1 水3,水1 水2 水3 水4,水2 水4
い：飯坂町湯野,,月 木,水1 水3,水1 水2 水3 水4,水2 水4
い：飯坂町東湯野,,月 木,水1 水3,水1 水2 水3 水4,水2 水4
い：飯坂町茂庭,,月 木,水1 水3,水1 水2 水3 水4,水2 水4
い：飯野町,,月 木,水1 水3,金1 金2 金3 金4,金2 金4
い：飯野町青木,,月 木,水1 水3,火1 火2 火3 火4,火2 火4
い：飯野町大久保,,月 木,水1 水3,火1 火2 火3 火4,火2 火4
い：飯野町明治,,月 木,水1 水3,金1 金2 金3 金4,金2 金4
お：小倉寺,,月 木,水1 水3,火1 火2 火3 火4,火2 火4
お：御山,,月 木,水1 水3,火1 火2 火3 火4,火1 火3
お：岡部,,火 金,水2 水4,月1 月2 月3 月4,月2 月4
お：岡島,,火 金,水2 水4,月1 月2 月3 月4,月2 月4
お：大波,,火 金,水2 水4,月1 月2 月3 月4,月2 月4
お：沖高,,火 金,水2 水4,月1 月2 月3 月4,月2 月4
お：大笹生,,火 金,水2 水4,月1 月2 月3 月4,月1 月3
お：大森,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
お：小田,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
か：鎌田,,火 金,水2 水4,月1 月2 月3 月4,月2 月4
か：上名倉,,火 金,水2 水4,水1 水2 水3 水4,水1 水3
か：上鳥渡,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
か：上野寺,,火 金,水2 水4,木1 木2 木3 木4,木1 木3
き：北沢又,,月 木,水1 水3,火1 火2 火3 火4,火1 火3
き：北矢野目,,火 金,水2 水4,月1 月2 月3 月4,月2 月4
き：北中央,,火 金,水2 水4,月1 月2 月3 月4,月1 月3
く：黒岩,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
こ：郷野目,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
さ：笹谷,,火 金,水2 水4,月1 月2 月3 月4,月1 月3
さ：さくら（一丁目、二丁目、三丁目）,,火 金,水2 水4,水1 水2 水3 水4,水1 水3
さ：佐倉下,,火 金,水2 水4,水1 水2 水3 水4,水1 水3
さ：佐原,,火 金,水2 水4,水1 水2 水3 水4,水1 水3
さ：在庭坂,,火 金,水2 水4,木1 木2 木3 木4,木1 木3
さ：笹木野,,火 金,水2 水4,月1 月2 月3 月4,月1 月3
さ：桜本,,火 金,水2 水4,木1 木2 木3 木4,木1 木3
し：下飯坂,,火 金,水2 水4,月1 月2 月3 月4,月2 月4
し：下鳥渡,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
し：下野寺(下記以外の地区),,火 金,水2 水4,木1 木2 木3 木4,木1 木3
し：下野寺(南中央･西中央に隣接する太田､太田前､猿内、行堂、ニ反田､北田、醴、内鉾、佐太郎内、薬師堂､薬師堂前､薬師堂後､南高田の地区),,火 金,水2 水4,月1 月2 月3 月4,月1 月3
し：庄野,,火 金,水2 水4,木1 木2 木3 木4,木1 木3
し：清水町,,火 金,水2 水4,木1 木2 木3 木4,木1 木3
せ：瀬上町(向瀬上),,火 金,水2 水4,月1 月2 月3 月4,月2 月4
せ：瀬上町(向瀬上除く),,月 木,水1 水3,火1 火2 火3 火4,火2 火4
た：太平寺,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
た：立子山,,月 木,水1 水3,火1 火2 火3 火4,火2 火4
た：高湯,,火 金,水2 水4,木1 木2 木3 木4,木1 木3
た：田沢,,火 金,水2 水4,木1 木2 木3 木4,木1 木3
つ：土湯温泉町,,火 金,水2 水4,水1 水2 水3 水4,水1 水3
つ：土船,,火 金,水2 水4,木1 木2 木3 木4,木1 木3
と：鳥谷野,,火 金,水2 水4,木1 木2 木3 木4,木2 木4
な：永井川,,月 木,水1 水3,金1 金2 金3 金4,金1 金3
